"Indicator Name","Indicator Code","Country Name","Country Code","Year","Value","Disaggregation"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","1992","5.824","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","1991","5.910","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","1990","5.773","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","1989","5.897","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","1988","5.788","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","1987","5.805","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","1986","5.790","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","1985","5.732","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","1984","5.813","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","1983","5.847","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","1982","5.812","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","1981","5.743","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","1980","5.526","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","1979","5.290","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","1978","5.039","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","1977","4.904","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","1976","4.768","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","1975","4.674","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","1974","4.499","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","1973","4.275","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","1972","4.228","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","1971","4.141","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","1970","4.132","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","2018","8.271","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","2017","8.205","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","2016","8.145","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","2015","8.347","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","2014","8.312","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","2013","8.619","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","2012","8.177","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","2011","7.835","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","2010","7.562","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","2009","7.297","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","2008","6.972","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","2007","6.895","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","2006","7.048","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","2005","6.904","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","2004","6.715","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","2003","6.362","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","2002","6.149","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","2001","5.955","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","2000","5.901","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","1999","5.641","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","1998","5.439","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","1997","5.238","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","1996","4.988","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","1995","5.175","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","1994","5.187","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","1993","5.112","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","1992","4.989","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","1991","4.854","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","1990","4.792","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","1989","4.760","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","1988","4.766","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","1987","4.939","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","1986","4.985","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","1985","5.322","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","1984","5.250","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","1983","5.282","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","1982","5.291","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","1981","4.925","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","1980","4.575","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","1979","4.307","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","1978","3.871","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","1977","3.337","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","1976","2.934","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","1975","2.865","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","1974","2.829","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","1973","2.786","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","1972","2.662","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","1971","2.508","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Western and Central","AFW","1970","2.411","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","2021","11.212","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","2020","11.163","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","2019","11.111","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","2018","10.987","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","2017","10.832","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","2016","10.719","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","2015","10.629","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","2014","10.453","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","2013","10.360","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","2012","10.419","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","2011","10.193","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","2010","10.108","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","2009","9.975","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","2008","9.897","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","2007","9.759","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","2006","9.740","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","2005","9.657","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","2004","9.332","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","2003","9.141","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","2002","8.953","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","2001","8.722","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","2000","8.550","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","1999","8.389","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","1998","8.182","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","1997","7.989","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","1996","7.745","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","1995","7.673","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","1994","7.667","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","1993","7.413","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","1992","7.276","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","1991","7.343","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","1990","7.241","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","1989","7.163","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","1988","7.132","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","1987","7.045","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","1986","6.910","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","1985","6.746","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","1984","6.613","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","1983","6.477","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","1982","6.323","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","1981","6.153","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","1980","6.010","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","1979","5.819","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","1978","5.545","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","1977","5.378","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","1976","5.155","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","1975","4.926","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","1974","4.734","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","1973","4.621","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","1972","4.450","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","1971","4.298","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Arab World","ARB","1970","4.335","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","2016","13.476","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","2015","13.399","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","2014","13.223","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","2013","13.330","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","2012","13.399","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","2011","13.486","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","2010","13.362","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","2009","13.382","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","2008","13.439","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","2007","12.879","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","2006","12.687","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","2005","12.509","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","2004","12.234","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","2003","11.976","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","2002","11.885","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","2001","11.485","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","2000","11.341","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","1999","11.465","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","1998","11.570","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","1997","11.652","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","1996","11.688","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","1995","11.683","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","1994","11.738","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","1993","11.600","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","1992","11.706","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","1991","11.723","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","1990","11.748","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","1989","11.687","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","1988","11.649","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","1987","11.451","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","1986","11.506","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","1985","11.411","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","1984","11.346","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","1983","11.489","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","1982","11.481","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","1981","11.411","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","1980","11.673","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","1979","11.592","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","1978","11.510","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","1977","11.374","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","1976","11.273","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","1975","11.081","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","1974","10.568","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","1973","10.490","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","1972","10.944","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","1971","10.814","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Caribbean small states","CSS","1970","10.926","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","2022","16.092","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","2021","16.101","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","2020","15.819","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","2019","16.024","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","2018","16.081","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","2017","16.194","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","2016","16.196","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","2015","16.167","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","2014","16.444","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","2013","16.615","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","2012","16.081","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","2011","16.283","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","2010","16.454","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","2009","16.330","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","2008","15.979","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","2007","15.591","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","2006","15.489","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","2005","15.238","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","2004","15.071","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","2003","15.241","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","2002","15.004","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","2001","14.588","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","2000","14.219","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","1999","13.907","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","1998","13.495","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","1997","13.138","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","1996","12.786","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","1995","12.344","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","1994","12.154","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","1993","11.974","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","1992","11.812","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","1991","11.948","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","1990","12.146","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","1989","12.178","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","1988","12.433","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","1987","12.380","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","1986","12.261","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","1985","12.190","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","1984","12.122","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","1983","12.108","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","1982","12.127","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","1981","12.072","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","1980","12.032","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","1979","12.061","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","1978","12.081","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","1977","12.036","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","1976","11.930","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","1975","11.883","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","1974","11.588","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","1973","11.428","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","1972","11.391","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","1971","11.504","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Central Europe and the Baltics","CEB","1970","11.647","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Early-demographic dividend","EAR","2022","12.398","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Early-demographic dividend","EAR","2021","12.187","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Early-demographic dividend","EAR","2020","12.066","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Early-demographic dividend","EAR","2019","11.915","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Early-demographic dividend","EAR","2018","11.800","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Early-demographic dividend","EAR","2017","12.072","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Early-demographic dividend","EAR","2016","12.108","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Early-demographic dividend","EAR","2015","11.789","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Early-demographic dividend","EAR","2014","11.636","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Early-demographic dividend","EAR","2013","11.414","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Early-demographic dividend","EAR","2012","11.167","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Early-demographic dividend","EAR","2011","10.852","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Early-demographic dividend","EAR","2010","10.556","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Early-demographic dividend","EAR","2009","10.279","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Early-demographic dividend","EAR","2008","10.154","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Early-demographic dividend","EAR","2007","9.916","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Early-demographic dividend","EAR","2006","9.625","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Early-demographic dividend","EAR","2005","9.424","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Early-demographic dividend","EAR","2004","9.192","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Early-demographic dividend","EAR","2003","9.025","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Early-demographic dividend","EAR","2002","8.568","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Early-demographic dividend","EAR","2001","8.361","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Early-demographic dividend","EAR","2000","8.248","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Early-demographic dividend","EAR","1999","8.085","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Early-demographic dividend","EAR","1998","7.971","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Early-demographic dividend","EAR","1997","7.893","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Early-demographic dividend","EAR","1996","7.770","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Early-demographic dividend","EAR","1995","7.671","female"
